wavelength,mean_reflectance_le_5
595.11394167,10.399664738
595.541117,10.436256219
595.96827171,10.492810657000001
596.39540576,10.558073427999998
596.82251915,10.622544242
597.24961185,10.676025036000002
597.67668385,10.704829530000001
598.10373512,10.747551244
598.53076564,10.746244363
598.95777541,10.749333486
599.38476439,10.720225004
599.81173257,10.673462612000002
600.23867993,10.597855358
600.66560645,10.556654252
601.09251211,10.514076913
601.5193969,10.476717939999999
601.94626078,10.455421544
602.37310376,10.422555029
602.7999258,10.380193048
603.22672688,10.338809897
603.65350699,10.294392343000002
604.08026611,10.256599569999999
604.50700422,10.239490111
604.9337213,10.221481804
605.36041733,10.191316539999999
605.78709229,10.178724535
606.21374616,10.177448981
606.64037893,10.161430455
607.06699057,10.178914602
607.49358107,10.205702003999999
607.9201504,10.243197764
608.34669856,10.263923827000001
608.77322551,10.308020588
609.19973124,10.320674979
609.62621572,10.327851473
610.05267896,10.328251752
610.47912091,10.339647338999999
610.90554156,10.352528758000002
611.3319409,10.357138050999998
611.75831891,10.382254829
612.18467556,10.374859601
612.61101083,10.365491702000002
613.03732472,10.346390094
613.46361719,10.354182424
613.88988823,10.320077904000001
614.31613782,10.326821355000002
614.74236595,10.356520704000001
615.16857258,10.408253491
615.59475771,10.436387523999999
616.02092131,10.481837384
616.44706337,10.53678003
616.87318386,10.566948913999997
617.29928278,10.580964
617.72536008,10.60435649
618.15141577,10.624936834
618.57744982,10.611424374000002
619.0034622,10.613499783
619.42945291,10.607742059000001
619.85542192,10.601555291
620.28136922,10.612280677
620.70729478,10.636647058999998
621.13319858,10.650844629000002
621.55908061,10.654330699
621.98494085,10.653117218999999
622.41077927,10.630643155
622.83659587,10.607434491
623.26239061,10.581241080999998
623.68816348,10.555630478
624.11391447,10.532209493999998
624.53964355,10.513701947
624.9653507,10.487771996000001
625.39103591,10.472111084000002
625.81669915,10.460916807
626.24234041,10.459217325000001
626.66795966,10.463023334999999
627.09355689,10.477615515999998
627.51913209,10.504477574000001
627.94468522,10.498557387
628.37021627,10.467706563999998
628.79572523,10.42837159
629.22121207,10.370467340000001
629.64667677,10.289509288000001
630.07211931,10.245748753
630.49753969,10.200758361999998
630.92293786,10.182195471
631.34831383,10.171526666
631.77366756,10.180173419
632.19899905,10.208767874
632.62430826,10.26592672
633.04959519,10.300592787000001
633.4748598,10.349342647
633.90010209,10.385102788000001
634.32532203,10.419650671
634.75051961,10.446567386
635.17569481,10.508476996999999
635.6008476,10.559753953
636.02597797,10.619939457
636.45108589,10.665147601
636.87617136,10.706110573
637.30123435,10.715187104
637.72627483,10.716211523
638.15129281,10.705065371999998
638.57628824,10.706784910999998
639.00126112,10.698919399000001
639.42621142,10.671647650999999
639.85113913,10.647484207000002
640.27604422,10.627252253
640.70092669,10.594135615999999
641.1257865,10.54776736
641.55062364,10.514491727000003
641.97543809,10.501238254
642.40022983,10.489946374999999
642.82499885,10.477764286
643.24974512,10.489641877
643.67446862,10.516234293
644.09916934,10.517408356
644.52384726,10.505635379000001
644.94850235,10.515891715999999
645.3731346,10.513926275
645.79774399,10.504560159999999
646.2223305,10.508219527
646.64689411,10.508188875
647.0714348,10.500601020000001
647.49595255,10.506128021999999
647.92044735,10.506834047999998
648.34491917,10.530641426999999
648.769368,10.578424988
649.19379381,10.603694143000002
649.61819659,10.626468455000001
650.04257632,10.644363455
650.46693298,10.623200012000002
650.89126655,10.595790721
651.31557701,10.584101786
651.73986434,10.567708569
652.16412852,10.562226543
652.58836954,10.576635337
653.01258737,10.579550029
653.436782,10.574712256000002
653.8609534,10.568094334
654.28510156,10.586871810000002
654.70922646,10.588915359
655.13332808,10.586380312
655.5574064,10.563903755000002
655.9814614,10.538685229000002
656.40549307,10.478340254
656.82950137,10.429403833
657.2534863,10.412556878999998
657.67744784,10.410643391
658.10138596,10.427514372
658.52530064,10.459680780000001
658.94919188,10.489607047000002
659.37305964,10.478161194999998
659.79690391,10.487227319
660.22072468,10.498117308
660.64452191,10.493985788
661.0682956,10.524568882
661.49204572,10.587472027
661.91577225,10.629972975
662.33947518,10.659533807999999
662.76315449,10.664707518
663.18681015,10.642908196
663.61044215,10.608727779
664.03405047,10.602988412
664.45763509,10.599744484999999
664.88119598,10.660109962
665.30473314,10.702698687999998
665.72824655,10.748350248000001
666.15173617,10.773052676999999
666.575202,10.775524519
666.99864402,10.738303752999999
667.4220622,10.720498781
667.84545653,10.704660937
668.26882699,10.70352193
668.69217355,10.690324666
669.11549621,10.686326350000002
669.53879494,10.669493008
669.96206971,10.623496141
670.38532052,10.548997435
670.80854735,10.491775300999999
671.23175017,10.408029598
671.65492896,10.316011655
672.07808371,10.248054093000002
672.5012144,10.191130402
672.92432101,10.17408509
673.34740351,10.170426523
673.7704619,10.190502665
674.19349615,10.191371438000001
674.61650623,10.192423408999998
675.03949215,10.169841309
675.46245386,10.188851736
675.88539136,10.192666217
676.30830463,10.211606438
676.73119364,10.269131196
677.15405838,10.336075255999999
677.57689882,10.408986917
677.99971496,10.491663541000001
678.42250677,10.587800485999999
678.84527423,10.631963770999999
679.26801732,10.671855105
679.69073602,10.670929566000002
680.11343032,10.688482381
680.53610019,10.700660712
680.95874562,10.724317408
681.38136658,10.747330671
681.80396307,10.785809241
682.22653505,10.792615631
682.64908251,10.800903031
683.07160543,10.837443925
683.49410379,10.842710366999999
683.91657758,10.806535863
684.33902677,10.807787438999998
684.76145134,10.796637194999999
685.18385128,10.765304748
685.60622656,10.776326366
686.02857717,10.813696453
686.45090309,10.824623314
686.8732043,10.79627743
687.29548077,10.762645008
687.7177325,10.707857446000002
688.13995946,10.646608744000002
688.56216163,10.589977244
688.98433899,10.576691635
689.40649153,10.585561014000001
689.82861923,10.597668733999999
690.25072206,10.630728113
690.67280001,10.660266282999999
691.09485305,10.6812159
691.51688118,10.684264691000001
691.93888436,10.674854096999999
692.36086259,10.677503937000001
692.78281583,10.6642549
693.20474408,10.691665935
693.62664732,10.710500249999999
694.04852552,10.727054758
694.47037866,10.729033084000003
694.89220673,10.740546707
695.31400971,10.744432058000001
695.73578757,10.761218754000001
696.15754031,10.776048754
696.57926789,10.757171791000001
697.00097031,10.743591698
697.42264753,10.688190066999999
697.84429955,10.647864151
698.26592635,10.675779623
698.6875279,10.67223491
699.10910418,10.683906232000002
699.53065518,10.709558644000001
699.95218088,10.709264982
700.37368126,10.634686573
700.7951563,10.635229857
701.21660597,10.600621356000001
701.63803027,10.555279057
702.05942917,10.52614668
702.48080265,10.511234783
702.9021507,10.51723675
703.32347329,10.525885517999999
703.74477041,10.554231521999998
704.16604204,10.556290863000001
704.58728815,10.574584776
705.00850873,10.557039288999999
705.42970376,10.549586397999999
705.85087322,10.570799318999999
706.2720171,10.639140125
706.69313536,10.677987726000001
707.114228,10.754697177999999
707.53529499,10.828605270999999
707.95633632,10.891066679
708.37735196,10.955936664
708.7983419,11.039485095
709.21930612,11.077791647000002
709.6402446,11.119989872
710.06115731,11.154302211
710.48204425,11.160870861000001
710.90290539,11.206316894999999
711.32374071,11.26268708
711.7445502,11.315614881
712.16533383,11.338707061
712.58609158,11.354241870000001
713.00682344,11.33595038
713.42752939,11.316016501000002
713.84820941,11.309074385999999
714.26886347,11.340628059999998
714.68949157,11.38641331
715.11009368,11.393725213
715.53066977,11.413426643000003
715.95121984,11.394320373
716.37174387,11.3656577
716.79224183,11.295316821
717.2127137,11.280174528999998
717.63315947,11.244673149
718.05357912,11.202757218
718.47397263,11.142194615000001
718.89433997,11.116614273000001
719.31468114,11.034818363
719.7349961,10.954936493
720.15528485,10.882259018
720.57554736,10.816472766
720.99578362,10.766194363
721.4159936,10.713097924
721.83617729,10.675610924
722.25633466,10.690278580999998
722.6764657,10.714819985999998
723.09657039,10.700642337
723.51664871,10.717804716999998
723.93670063,10.724650483999998
724.35672615,10.677256286
724.77672524,10.615886834
725.19669789,10.532706041
725.61664407,10.47267886
726.03656376,10.424946114
726.45645695,10.415261097
726.87632362,10.414582294999999
727.29616374,10.478291044
727.7159773,10.535437797
728.13576429,10.571982722
728.55552467,10.647734277000001
728.97525843,10.725847077000001
729.39496556,10.816699305
729.81464603,10.901991386000002
730.23429983,10.981269879
730.65392692,11.010740584999999
731.07352731,11.028280511000002
731.49310096,11.02387172
731.91264786,11.002831924999999
732.33216799,10.998011834
732.75166133,11.039311578
733.17112786,11.095903106
733.59056756,11.136990849
734.00998042,11.194875911999999
734.4293664,11.261157530999998
734.8487255,11.303630658
735.2680577,11.298997265
735.68736298,11.313441158999998
736.10664131,11.326915839
736.52589267,11.306173721
736.94511706,11.285892265000001
737.36431445,11.30997389
737.78348482,11.287117610999998
738.20262815,11.299262191
738.62174442,11.298901653000003
