wavelength,mean_reflectance_gt_5
769.55992389,15.175614097000002
769.97695651,15.186106927999997
770.39396062,15.185302547000001
770.81093621,15.182433594000003
771.22788325,15.171053376
771.64480173,15.153888745
772.06169163,15.135133833000003
772.47855292,15.097847688000002
772.89538559,15.095395389
773.31218962,15.068865476999997
773.72896499,15.022404886999999
774.14571169,14.99741622
774.56242968,15.012462649000003
774.97911896,14.985074627
775.3957795,14.987581412
775.81241129,14.998955390999999
776.22901431,14.986599874000001
776.64558853,14.979957343
777.06213394,14.966709358999998
777.47865052,14.942284932000003
777.89513825,14.936008391000001
778.3115971,14.90077887
778.72802708,14.849319524
779.14442814,14.806365518000002
779.56080028,14.780072622
779.97714347,14.730125856
780.39345769,14.721917444000002
780.80974294,14.711522495
781.22599918,14.689108847999998
781.6422264,14.650223608000001
782.05842457,14.612911136999998
782.47459369,14.564005284
782.89073373,14.502752677
783.30684467,14.470414858000002
783.72292649,14.439849138
784.13897918,14.368148761999999
784.55500271,14.322488765999998
784.97099707,14.314486485
785.38696224,14.288427870000001
785.80289819,14.249511100000001
786.21880491,14.251710352
786.63468238,14.246741952999997
787.05053057,14.261056724
787.46634949,14.243831551
787.88213909,14.258193091
788.29789936,14.303758741
788.71363029,14.310461719
789.12933186,14.313803580999998
789.54500404,14.365481572000002
789.96064681,14.403787239000001
790.37626017,14.46294264
790.79184408,14.554506378999998
791.20739853,14.588428396000001
791.62292351,14.640399126999998
792.03841898,14.680488301
792.45388494,14.667363337000001
792.86932136,14.694746771999998
793.28472822,14.712088451
793.70010551,14.711920457000002
794.11545321,14.733437216999999
794.53077129,14.761325379999999
794.94605974,14.782170093
795.36131853,14.782466594999999
795.77654766,14.799613935
796.1917471,14.830842039999999
796.60691683,14.870702435999998
797.02205683,14.881335654000003
797.43716709,14.95009885
797.85224758,14.987193442999999
798.26729829,14.976144037000001
798.68231919,14.968915905
799.09731027,14.971130836
799.5122715,14.94136018
799.92720288,14.940576265999999
800.34210438,14.941455511000001
800.75697597,14.943893112000001
801.17181765,14.940332711
801.58662939,14.942079006
802.00141118,14.889964637999999
802.41616299,14.868055376000001
802.8308848,14.861051215
803.2455766,14.856124752000003
803.66023837,14.850871719999997
804.07487008,14.903141702
804.48947173,14.971849549000002
804.90404329,15.016523926
805.31858473,15.026613702000002
805.73309605,15.079927858
806.14757722,15.078255811
806.56202823,15.062897240000002
806.97644905,15.050293121
807.39083966,15.080204915000001
807.80520005,15.080752509000002
808.2195302,15.097111135
808.63383009,15.126821950000002
809.0480997,15.138967414000001
809.46233901,15.109336068000001
809.87654799,15.088935568
